p = 12289, n = 12
p = 5804033, n = 12
p = 5910529, n = 12
p = 5951489, n = 12
p = 5984257, n = 12
p = 6000641, n = 12
p = 6008833, n = 12
p = 6082561, n = 12
p = 6156289, n = 12
p = 6230017, n = 12
p = 6254593, n = 12
p = 6320129, n = 12
p = 6393857, n = 12
p = 6402049, n = 12
p = 6574081, n = 12
p = 6737921, n = 12
p = 6885377, n = 12
p = 6942721, n = 12
p = 7057409, n = 12
p = 7065601, n = 12
p = 7090177, n = 12
p = 7114753, n = 12
p = 7139329, n = 12
p = 7188481, n = 12
p = 7229441, n = 12
p = 7352321, n = 12
p = 7360513, n = 12
p = 7434241, n = 12
p = 7475201, n = 12
p = 7548929, n = 12
p = 7630849, n = 12
p = 7671809, n = 12
p = 7704577, n = 12
p = 7729153, n = 12
p = 7745537, n = 12
p = 7925761, n = 12
p = 8040449, n = 12
p = 8114177, n = 12
p = 8122369, n = 12
p = 8163329, n = 12
p = 8245249, n = 12
p = 8286209, n = 12
p = 8318977, n = 12
p = 8441857, n = 12
p = 8466433, n = 12
p = 8753153, n = 12
p = 8851457, n = 12
p = 8876033, n = 12
p = 8949761, n = 12
p = 9023489, n = 12
p = 9031681, n = 12
p = 9080833, n = 12
p = 9220097, n = 12
p = 9326593, n = 12
p = 9392129, n = 12
p = 9441281, n = 12
p = 9547777, n = 12
p = 9588737, n = 12
p = 9646081, n = 12
p = 9695233, n = 12
p = 9711617, n = 12
p = 9760769, n = 12
p = 9834497, n = 12
p = 10039297, n = 12
p = 10063873, n = 12
p = 10162177, n = 12
p = 10186753, n = 12
p = 10334209, n = 12
p = 10383361, n = 12
p = 10457089, n = 12
p = 10473473, n = 12
p = 10498049, n = 12
p = 10571777, n = 12
p = 10579969, n = 12
p = 10629121, n = 12
p = 10678273, n = 12
p = 10702849, n = 12
p = 10842113, n = 12
p = 10924033, n = 12
p = 10940417, n = 12
p = 10989569, n = 12
p = 10997761, n = 12
p = 11038721, n = 12
p = 11046913, n = 12
p = 11087873, n = 12
p = 11112449, n = 12
p = 11169793, n = 12
p = 11186177, n = 12
p = 11309057, n = 12
p = 11358209, n = 12
p = 11456513, n = 12
p = 11653121, n = 12
p = 11677697, n = 12
p = 11759617, n = 12
p = 11898881, n = 12
p = 11907073, n = 12
p = 12021761, n = 12
p = 12046337, n = 12
p = 12070913, n = 12
p = 12128257, n = 12
p = 12177409, n = 12
p = 12193793, n = 12
p = 12226561, n = 12
p = 12390401, n = 12
p = 12521473, n = 12
p = 12587009, n = 12
p = 12644353, n = 12
p = 12685313, n = 12
p = 12759041, n = 12
p = 12767233, n = 12
p = 12808193, n = 12
p = 12865537, n = 12
p = 12906497, n = 12
p = 12931073, n = 12
p = 13004801, n = 12
p = 13029377, n = 12
p = 13037569, n = 12
p = 13135873, n = 12
p = 13152257, n = 12
p = 13283329, n = 12
p = 13332481, n = 12
p = 13381633, n = 12
p = 13496321, n = 12
p = 13570049, n = 12
p = 13578241, n = 12
p = 13766657, n = 12
p = 14012417, n = 12
p = 14036993, n = 12
p = 14110721, n = 12
p = 14118913, n = 12
p = 14241793, n = 12
p = 14258177, n = 12
p = 14282753, n = 12
p = 14307329, n = 12
p = 14340097, n = 12
p = 14430209, n = 12
p = 14438401, n = 12
p = 14610433, n = 12
p = 14651393, n = 12
p = 14684161, n = 12
p = 14749697, n = 12
p = 14774273, n = 12
p = 14831617, n = 12
p = 14872577, n = 12
p = 14880769, n = 12
p = 14970881, n = 12
p = 15052801, n = 12
p = 15167489, n = 12
p = 15200257, n = 12
p = 15298561, n = 12
p = 15372289, n = 12
p = 15470593, n = 12
p = 15511553, n = 12
p = 15618049, n = 12
p = 15732737, n = 12
p = 15781889, n = 12
p = 15790081, n = 12
p = 15831041, n = 12
p = 15962113, n = 12
p = 15978497, n = 12
p = 16125953, n = 12
p = 16355329, n = 12
p = 16371713, n = 12
p = 16494593, n = 12
p = 16519169, n = 12
p = 16592897, n = 12
p = 16617473, n = 12
p = 16650241, n = 12
p = 16674817, n = 12
p = 16699393, n = 12
p = 40961, n = 13
p = 188417, n = 13
p = 270337, n = 13
p = 286721, n = 13
p = 319489, n = 13
p = 417793, n = 13
p = 778241, n = 13
p = 925697, n = 13
p = 974849, n = 13
p = 1073153, n = 13
p = 1253377, n = 13
p = 1318913, n = 13
p = 1417217, n = 13
p = 1597441, n = 13
p = 1662977, n = 13
p = 1712129, n = 13
p = 1794049, n = 13
p = 1810433, n = 13
p = 1843201, n = 13
p = 1892353, n = 13
p = 1908737, n = 13
p = 1990657, n = 13
p = 2056193, n = 13
p = 2236417, n = 13
p = 2482177, n = 13
p = 2875393, n = 13
p = 3022849, n = 13
p = 3072001, n = 13
p = 3219457, n = 13
p = 3383297, n = 13
p = 3612673, n = 13
p = 3956737, n = 13
p = 4005889, n = 13
p = 4104193, n = 13
p = 4120577, n = 13
p = 4169729, n = 13
p = 4300801, n = 13
p = 4366337, n = 13
p = 4464641, n = 13
p = 4513793, n = 13
p = 4595713, n = 13
p = 4694017, n = 13
p = 4759553, n = 13
p = 4907009, n = 13
p = 5234689, n = 13
p = 5398529, n = 13
p = 5431297, n = 13
p = 5578753, n = 13
p = 5677057, n = 13
p = 5726209, n = 13
p = 5824513, n = 13
p = 6086657, n = 13
p = 6234113, n = 13
p = 6381569, n = 13
p = 6463489, n = 13
p = 6578177, n = 13
p = 6725633, n = 13
p = 6873089, n = 13
p = 6955009, n = 13
p = 7168001, n = 13
p = 7200769, n = 13
p = 7413761, n = 13
p = 7462913, n = 13
p = 7544833, n = 13
p = 7643137, n = 13
p = 7659521, n = 13
p = 7741441, n = 13
p = 7790593, n = 13
p = 7806977, n = 13
p = 8134657, n = 13
p = 8183809, n = 13
p = 8380417, n = 13
p = 8527873, n = 13
p = 9019393, n = 13
p = 9035777, n = 13
p = 9117697, n = 13
p = 9166849, n = 13
p = 9330689, n = 13
p = 9379841, n = 13
p = 9920513, n = 13
p = 10067969, n = 13
p = 10362881, n = 13
p = 10444801, n = 13
p = 10493953, n = 13
p = 10559489, n = 13
p = 10739713, n = 13
p = 10838017, n = 13
p = 11345921, n = 13
p = 11575297, n = 13
p = 11591681, n = 13
p = 11624449, n = 13
p = 11673601, n = 13
p = 11886593, n = 13
p = 11919361, n = 13
p = 12115969, n = 13
p = 12214273, n = 13
p = 12230657, n = 13
p = 12361729, n = 13
p = 12623873, n = 13
p = 12771329, n = 13
p = 12820481, n = 13
p = 12902401, n = 13
p = 13066241, n = 13
p = 13197313, n = 13
p = 13312001, n = 13
p = 13344769, n = 13
p = 13541377, n = 13
p = 13606913, n = 13
p = 13754369, n = 13
p = 14196737, n = 13
p = 14344193, n = 13
p = 14770177, n = 13
p = 15228929, n = 13
p = 15474689, n = 13
p = 15523841, n = 13
p = 15556609, n = 13
p = 15572993, n = 13
p = 15605761, n = 13
p = 15818753, n = 13
p = 15900673, n = 13
p = 15998977, n = 13
p = 16015361, n = 13
p = 16064513, n = 13
p = 16244737, n = 13
p = 16261121, n = 13
p = 16293889, n = 13
p = 16490497, n = 13
p = 16588801, n = 13
p = 16736257, n = 13
p = 114689, n = 14
p = 147457, n = 14
p = 638977, n = 14
p = 737281, n = 14
p = 1032193, n = 14
p = 1097729, n = 14
p = 1130497, n = 14
p = 1196033, n = 14
p = 1589249, n = 14
p = 1720321, n = 14
p = 1785857, n = 14
p = 2277377, n = 14
p = 2572289, n = 14
p = 2768897, n = 14
p = 3194881, n = 14
p = 3260417, n = 14
p = 3391489, n = 14
p = 3489793, n = 14
p = 3588097, n = 14
p = 3686401, n = 14
p = 3850241, n = 14
p = 4046849, n = 14
p = 4079617, n = 14
p = 4866049, n = 14
p = 5324801, n = 14
p = 5849089, n = 14
p = 6111233, n = 14
p = 6144001, n = 14
p = 6209537, n = 14
p = 6307841, n = 14
p = 6537217, n = 14
p = 6602753, n = 14
p = 6635521, n = 14
p = 7815169, n = 14
p = 7913473, n = 14
p = 7979009, n = 14
p = 8273921, n = 14
p = 8404993, n = 14
p = 8667137, n = 14
p = 9093121, n = 14
p = 9453569, n = 14
p = 9781249, n = 14
p = 10076161, n = 14
p = 10436609, n = 14
p = 10534913, n = 14
p = 11059201, n = 14
p = 11517953, n = 14
p = 12042241, n = 14
p = 12206081, n = 14
p = 12599297, n = 14
p = 13811713, n = 14
p = 13877249, n = 14
p = 14172161, n = 14
p = 14499841, n = 14
p = 14663681, n = 14
p = 14893057, n = 14
p = 15548417, n = 14
p = 15941633, n = 14
p = 15974401, n = 14
p = 16269313, n = 14
p = 16465921, n = 14
p = 16760833, n = 14
p = 163841, n = 15
p = 557057, n = 15
p = 1146881, n = 15
p = 2654209, n = 15
p = 4423681, n = 15
p = 4620289, n = 15
p = 4816897, n = 15
p = 4882433, n = 15
p = 5865473, n = 15
p = 6258689, n = 15
p = 6455297, n = 15
p = 6782977, n = 15
p = 7438337, n = 15
p = 7569409, n = 15
p = 8159233, n = 15
p = 8814593, n = 15
p = 9011201, n = 15
p = 9338881, n = 15
p = 9732097, n = 15
p = 10715137, n = 15
p = 10780673, n = 15
p = 11304961, n = 15
p = 11370497, n = 15
p = 11501569, n = 15
p = 12484609, n = 15
p = 12681217, n = 15
p = 13074433, n = 15
p = 13336577, n = 15
p = 13664257, n = 15
p = 14123009, n = 15
p = 14909441, n = 15
p = 15630337, n = 15
p = 65537, n = 16
p = 1376257, n = 16
p = 1769473, n = 16
p = 2424833, n = 16
p = 3604481, n = 16
p = 3735553, n = 16
p = 5308417, n = 16
p = 6750209, n = 16
p = 7667713, n = 16
p = 8716289, n = 16
p = 9502721, n = 16
p = 10027009, n = 16
p = 11468801, n = 16
p = 11599873, n = 16
p = 13565953, n = 16
p = 16580609, n = 16
p = 1179649, n = 17
p = 2752513, n = 17
p = 6684673, n = 17
p = 6946817, n = 17
p = 8257537, n = 17
p = 8519681, n = 17
p = 12451841, n = 17
p = 13238273, n = 17
p = 16121857, n = 17
p = 16384001, n = 17
p = 786433, n = 18
p = 8650753, n = 18
p = 10223617, n = 18
p = 11272193, n = 18
p = 14942209, n = 18
p = 16515073, n = 18
p = 5767169, n = 19
p = 14155777, n = 19
p = 7340033, n = 20
p = 13631489, n = 20
